leg1_x,leg1_y,leg2_x,leg2_y
-0.039556,-0.192911,0.027615,-0.159839
-0.041085,-0.192884,0.028750,-0.160666
-0.042586,-0.192843,0.029874,-0.161508
-0.044055,-0.192787,0.030985,-0.162364
-0.045492,-0.192716,0.032083,-0.163232
-0.046895,-0.192630,0.033165,-0.164111
-0.048261,-0.192529,0.034231,-0.165000
-0.049588,-0.192412,0.035280,-0.165897
-0.050875,-0.192281,0.036310,-0.166800
-0.052120,-0.192134,0.037320,-0.167710
-0.053320,-0.191971,0.038309,-0.168623
-0.054474,-0.191794,0.039275,-0.169540
-0.055580,-0.191601,0.040216,-0.170459
-0.056636,-0.191392,0.041132,-0.171378
-0.057639,-0.191169,0.042020,-0.172296
-0.058589,-0.190930,0.042880,-0.173213
-0.059482,-0.190675,0.043708,-0.174127
-0.060318,-0.190406,0.044505,-0.175036
-0.061094,-0.190121,0.045267,-0.175940
-0.061808,-0.189821,0.045994,-0.176837
-0.062459,-0.189506,0.046684,-0.177726
-0.063045,-0.189175,0.047334,-0.178606
-0.063564,-0.188829,0.047944,-0.179475
-0.064014,-0.188466,0.048511,-0.180333
-0.064394,-0.188088,0.049034,-0.181177
-0.064702,-0.187693,0.049512,-0.182008
-0.064936,-0.187282,0.049941,-0.182822
-0.065095,-0.186853,0.050321,-0.183619
-0.065178,-0.186407,0.050650,-0.184398
-0.065183,-0.185942,0.050926,-0.185158
-0.065109,-0.185459,0.051147,-0.185895
-0.064954,-0.184956,0.051313,-0.186610
-0.064718,-0.184432,0.051421,-0.187300
-0.064398,-0.183887,0.051470,-0.187965
-0.063995,-0.183319,0.051458,-0.188601
-0.063507,-0.182727,0.051383,-0.189208
-0.062934,-0.182109,0.051246,-0.189784
-0.062274,-0.181465,0.051043,-0.190327
-0.061528,-0.180792,0.050775,-0.190834
-0.060694,-0.180089,0.050439,-0.191305
-0.059773,-0.179354,0.050035,-0.191736
-0.058764,-0.178585,0.049561,-0.192126
-0.057668,-0.177779,0.049017,-0.192473
-0.056483,-0.176934,0.048402,-0.192774
-0.055212,-0.176048,0.047715,-0.193027
-0.053854,-0.175117,0.046955,-0.193229
-0.052410,-0.174140,0.046123,-0.193378
-0.050881,-0.173112,0.045218,-0.193471
-0.049268,-0.172032,0.044239,-0.193505
-0.047573,-0.170894,0.043187,-0.193478
-0.045797,-0.169697,0.042061,-0.193387
-0.043942,-0.168436,0.040862,-0.193228
